      hng      ||       dc5      ||   ginka        ||   tenshi_sz    |
dump  , garbro || dump  , garbro || dump  , garbro || dump  , garbro |
even           || even           || even           || even           |
2 ,5           || 0 ,0           || 5 ,2           || 2 ,       6    |
6 ,4           || 1 ,2           || 0 ,6           || 5 ,       5    |
7 ,0           || 5 ,4           || 3 ,5           || 6 ,       0    |
3 ,1           || 4 ,7           || 7 ,3           || 3 ,       1    |
0 ,6           || 6 ,1           || 2 ,4           || 1 ,       4    |
4 ,7           || 7 ,3           || 1 ,0           || 0 ,       2    |
5 ,2           || 3 ,5           || 6 ,7           || 7 ,       3    |
1 ,3           || 2 ,6           || 4 ,1           || 4 ,       7    |
odd            || odd            || odd            || odd            |
2 ,0           || 5 ,0           || 2 ,4           || 1 ,      4     |
3 ,1           || 4 ,1           || 1 ,5           || 4 ,      2     |
4 ,2           || 2 ,3           || 4 ,2           || 2 ,      3     |
5 ,5           || 3 ,4           || 0 ,1           || 0 ,      0     |
1 ,3           || 1 ,5           || 3 ,3           || 5 ,      5     |
0 ,4           || 0 ,2           || 5 ,0           || 3 ,      1     |
prolog         || prolog         || prolog         || prolog         |
2 ,2           || 0 ,0           || 1 ,1           || 2 ,      1     |
1 ,1           || 2 ,2           || 0 ,0           || 0 ,      2     |
0 ,0           || 1 ,1           || 2 ,2           || 1 ,      0     |



